index,metadata,proba_canon,prediction,accord
1995_Ferney-Alice_L-elegance-des-veuves,non_canon,0.6550438127417646,canon,False
1932_Simenon-Georges_Chez-les-Flamands,non_canon,0.29279778031676335,non_canon,True
2003_Beigbeder-Frederic_Windows-on-the-World,canon,0.6895610176079094,canon,True
1981_Ernaux-Annie_La-femme-gelee,canon,0.7988861740602419,canon,True
1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine,non_canon,0.08032183958265168,non_canon,True
1885_Zola-Emile_Germinal,canon,0.8223475488747437,canon,True
1997_Beigbeder-Frederic_L-Amour-Dure-Trois-Ans,non_canon,0.47518058701431,canon,False
1925_Proust-Marcel_Albertine-disparue,canon,0.6803433831011085,canon,True
1865_ Verne-Jules_Les-Forceurs-de-blocus,non_canon,0.36817757512241167,non_canon,True
1910_Farrere-Claude_Les-petites-alliees,non_canon,0.4136735247940637,non_canon,True
1892_Zola-Emile_La-debacle,canon,0.5861295529550851,canon,True
1884_Daudet-Alphonse_Sapho,canon,0.8243064028515209,canon,True
1931_Simenon-Georges_La-nuit-du-carrefour,non_canon,0.29279778031676335,non_canon,True
1954_Cohen-Albert_Le-livre-de-ma-mere,canon,0.4376439570112878,non_canon,False
1873_Zola-Emile_Le-ventre-de-Paris,canon,0.8139062271460037,canon,True
1893_Zola-Emile_Le-docteur-Pascal,canon,0.7857844132081189,canon,True
2005_Bouraoui-Nina_Mes-mauvaises-pensees,canon,0.35675597646203044,non_canon,False
1884_Mendes-Catulle_Jeunes-filles,non_canon,0.6804442809540405,canon,False
1949_Simenon-Georges_Maigret-chez-le-coroner,non_canon,0.29279778031676335,non_canon,True
1861_Segur-comtesse-de_Pauvre-Blaise,non_canon,0.1709575468641926,non_canon,True
2014_Kerangal-Maylis-de_Reparer-les-vivants,canon,0.6591976184498274,canon,True
1941_Leblanc-Maurice_Les-Milliards-d-Arsene-Lupin,non_canon,0.08550721656890395,non_canon,True
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers,canon,0.32532597753736825,non_canon,False
1876_Marechal-Marie_Le-Parrain-d-Antoinette,non_canon,0.10347050611659332,non_canon,True
2003_Darrieussecq-Marie_White,non_canon,0.6785755344612967,canon,False
1895_Loti-Pierre_Le-desert,non_canon,0.6310580414274921,canon,False
1844_Dumas-Alexandre_Les-Trois-Mousquetaires,canon,0.037349732463637104,non_canon,False
1896_Jarry-Alfred_L-Autre-Alceste,non_canon,0.282440070952412,non_canon,True
1878_Verne-Jules_Un-capitaine-de-quinze-ans,canon,0.264867485537265,non_canon,False
1864_Segur-comtesse-de_François-le-Bossu,non_canon,0.11949970491228692,non_canon,True
1925_Cendrars-Blaise_L-or,canon,0.4445031651147539,non_canon,False
1880_Navery-Raoul-de_Les-Voyages-de-Camoens,non_canon,0.2904675039937387,non_canon,True
1916_Ardel-Henri_Le-chemin-qui-descend,non_canon,0.18009849214299078,non_canon,True
1926_Colette_La-Fin-de-Cheri,canon,0.7134955869346101,canon,True
1934_Colette_Les-Vrilles-de-la-vigne,canon,0.6329123484174527,canon,True
2010_Kerangal-Maylis-de_Naissance-d-un-pont,canon,0.7692198356138721,canon,True
1877_Saint-Vidal-Mathilde-de_Amour-et-devoir,non_canon,0.07458954954505682,non_canon,True
1959_Queneau-Raymond_Zazie-Dans-Le-Metro,canon,0.20697984131052388,non_canon,False
1875_Verne-Jules_L-Ile-Mysterieuse,canon,0.27006202903479176,non_canon,False
1850_Dumas-Alexandre_Le-Vicomte-de-Bragelonne,canon,0.027843610629955103,non_canon,False
1930_Nemirovsky-Irene_Le-bal,non_canon,0.39860708620034707,non_canon,True
1994_Millet-Richard_Un-balcon-a-Beyrouth,non_canon,0.8534778544269208,canon,False
1902_Laurie-Andre_Memoires-d-un-collegien-russe,non_canon,0.21461136156730393,non_canon,True
1974_Laine-Pascal_La-dentelliere,canon,0.7629706511735912,canon,True
1876_Aimard-Gustave_Le-Chasseur-de-rats_Tome-2-Le-commandant-Delgres,non_canon,0.05348900369569347,non_canon,True
1894_Louÿs-Pierre_Les-chansons-de-Bilitis,non_canon,0.4352728129395146,non_canon,True
1944_Camus-Albert_Le-premier-homme,canon,0.8001316677137754,canon,True
1882_Verne-Jules_Le-rayon-vert,non_canon,0.4159813997975707,non_canon,True
1962_Troyat-Henri_Les-Dames-de-Siberie,non_canon,0.6254990636796723,canon,False
1835_Gautier-Theophile_Mademoiselle-de-Maupin,canon,0.43548887110790624,non_canon,False
1879_Navery-Raoul-de_La-Fille-du-roi-Dagobert,non_canon,0.1615257017496643,non_canon,True
1858_Segur-comtesse-de_Les-Malheurs-de-Sophie,canon,0.25503760436668804,non_canon,False
1893_Leblanc-Maurice_Une-femme,canon,0.6353661823952881,canon,True
1892_Decourcelle-Pierre_Mam-zelle-Misere,non_canon,0.08991510333203652,non_canon,True
1845_Dumas-Alexandre_La-Reine-Margot,canon,0.055089472027291926,non_canon,False
2000_Millet-Richard_Lauve-le-pur,non_canon,0.7648935837496524,canon,False
1878_Boisgobey-Fortune-du_Le-crime-de-l-Opera_1,non_canon,0.06991154008751448,non_canon,True
2009_Michon-Pierre_Les-Onze,canon,0.5601871178825527,canon,True
1854_Barbey-d-Aurevilly-Jules_L-ensorcelee,canon,0.7707744167508864,canon,True
1895_Loti-Pierre_Jerusalem,non_canon,0.6022557722918981,canon,False
1873_Viollet-le-Duc-Eugene-Emmanuel_Histoire-d-une-maison,non_canon,0.2853493985665313,non_canon,True
1864_Barbey-d-Aurevilly-Jules_Le-Chevalier-des-Touches,canon,0.6380789039964879,canon,True
2002_Oster-Christian_Dans-le-train,non_canon,0.2928844118903161,non_canon,True
1863_Verne-Jules_Cinq-Semaines-en-ballon,canon,0.32387655111284547,non_canon,False
1846_Dumas-Alexandre_La-Dame-de-Monsoreau,canon,0.05822505621614476,non_canon,False
1881_Loti-Pierre_Le-mariage-de-Loti,non_canon,0.5751252123989414,canon,False
2012_Deville-Patrick_Peste-et-cholera,canon,0.5544050554384727,canon,True
1838_Dumas-Alexandre_Othon-l-Archer,non_canon,0.20925972918539368,non_canon,True
2012_Nothomb-Amelie_Barbe-bleue,non_canon,0.18816998436199553,non_canon,True
2000_Nothomb-Amelie_Metaphysique-des-tubes,canon,0.6462581815966512,canon,True
1931_Saint-Exupery-Antoine-de_Vol-de-nuit,canon,0.577349628423367,canon,True
1887_Loti-Pierre_Madame-Chrysantheme,canon,0.8182257266655535,canon,True
1872_Dumas-Alexandre_Le-docteur-mysterieux_I,non_canon,0.26468380180570467,non_canon,True
2013_Darrieussecq-Marie_Il-faut-beaucoup-aimer-les-hommes,canon,0.8775233250173131,canon,True
1922_Leblanc-Maurice_Le-Cercle-rouge,non_canon,0.04634595339529011,non_canon,True
1909_Corday-Michel_Plaisirs-d-auto,non_canon,0.3791205207353632,non_canon,True
1899_Allais-Alphonse_Pour-cause-de-fin-de-bail,non_canon,0.22949123696795085,non_canon,True
1848_Dumas-Alexandre_La-dame-aux-camelias,canon,0.18197812741448702,non_canon,False
1930_Colette_Sido,canon,0.6471076624620248,canon,True
1947_Camus-Albert_La-peste,canon,0.6854873506743916,canon,True
2006_Millet-Richard_Devorations,non_canon,0.7272656582101562,canon,False
1843_Dumas-Alexandre_Gabriel-Lambert,non_canon,0.06366750007729445,non_canon,True
2009_Viel-Tanguy_Paris-Brest,non_canon,0.4417232556118852,non_canon,True
1872_Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours,canon,0.26046828576362,non_canon,False
